asset_id,complaint_count,average_complaint_severity,recent_complaints,inspection_count,average_condition_score,maintenance_count,recent_maintenance,total_maintenance_cost,incident_count,unresolved_incidents,resolved_incidents,rule_based_risk
SG-042,3,4.33,2,0,49.25,2,2,253104,0,0,0,49.59
SG-042,2,3.28,3,1,55.51,3,0,229228,1,0,1,44.27
SG-042,3,3.74,3,2,53.02,4,1,206253,1,0,1,56.5
SG-042,2,3.95,4,1,65.9,3,2,306330,2,0,2,59.01
SG-042,3,3.06,3,1,56.67,4,1,299924,1,1,0,64.92
SG-042,3,3.98,4,2,60.48,3,0,272132,2,2,0,72.02
SG-042,3,4.29,3,2,60.31,2,1,114645,1,0,1,49.36
SG-042,1,3.99,3,0,52.3,3,1,401258,1,1,0,62.56
SG-042,5,3.76,2,1,57.72,1,1,235883,2,1,1,65.25
SG-042,3,3.6,3,1,50.0,1,2,254157,0,0,0,42.52
SG-042,4,2.6,3,2,61.0,3,0,295340,1,1,0,55.92
SG-042,4,4.71,5,2,57.12,2,2,283713,1,1,0,69.56
SG-042,3,3.16,3,2,58.02,2,2,256234,2,1,1,67.07
SG-042,2,4.68,2,0,49.64,1,1,261829,1,1,0,59.26
SG-042,3,3.89,3,1,41.14,2,0,278998,1,1,0,59.51
SG-042,4,3.81,2,1,53.78,2,2,246099,2,1,1,72.45
SG-042,2,4.35,4,1,51.9,1,0,307060,0,0,0,35.49
SG-042,2,3.53,3,3,46.98,3,1,299779,1,1,0,63.03
SG-042,3,4.69,3,2,52.85,2,0,302208,2,1,1,66.53
SG-042,3,2.89,3,0,50.7,2,2,432630,0,0,0,43.54
SG-042,3,3.56,3,1,58.88,2,0,191483,2,1,1,60.58
SG-042,2,3.68,4,1,52.75,3,3,304398,2,2,0,78.51
SG-042,4,4.1,4,1,49.22,3,0,232979,2,2,0,76.58
SG-042,5,3.48,2,1,58.82,2,2,256986,1,0,1,53.85
SG-042,4,3.67,2,1,56.53,2,3,271546,1,0,1,57.31
SG-042,2,3.49,2,2,56.68,3,1,279062,1,1,0,60.92
SG-042,5,2.05,1,1,58.12,3,1,255713,2,2,0,71.99
SG-042,3,4.34,3,1,63.58,2,1,358602,0,0,0,42.91
SG-042,2,3.42,3,0,50.12,1,3,376817,1,1,0,61.96
SG-042,2,2.33,3,0,57.32,0,0,285234,1,1,0,41.39
SG-042,1,4.27,2,2,57.91,1,1,297241,2,1,1,60.15
SG-042,5,4.38,3,2,73.47,4,0,225670,2,0,2,60.7
SG-042,1,3.33,3,1,52.8,1,0,228275,3,1,2,59.23
SG-042,4,3.33,3,0,36.79,1,0,152362,0,0,0,35.19
SG-042,3,4.57,3,2,50.79,3,2,245054,2,1,1,78.44
SG-042,2,2.88,2,1,60.62,1,1,308608,2,2,0,61.57
SG-042,5,2.97,5,1,66.36,2,1,176854,1,0,1,46.2
SG-042,4,4.73,2,1,52.2,1,2,274865,3,1,2,78.63
SG-042,4,3.74,4,1,57.6,2,0,313679,2,1,1,63.39
SG-042,5,4.68,3,1,53.01,2,0,366752,1,1,0,64.05
SG-042,4,2.15,1,2,58.48,2,0,275713,3,2,1,62.53
SG-042,3,3.36,3,0,60.06,3,0,240358,0,0,0,41.51
SG-042,3,2.21,4,2,55.99,0,0,345303,0,0,0,23.48
SG-042,2,4.23,2,1,62.52,4,1,297833,0,0,0,48.86
SG-042,2,3.28,3,0,59.83,3,1,188975,1,1,0,61.38
SG-042,1,2.92,4,1,61.3,4,1,313447,4,1,3,71.8
SG-042,2,3.97,3,1,49.74,4,1,236431,2,1,1,74.33
SG-042,3,4.06,2,1,73.3,2,1,248906,1,1,0,57.79
SG-042,3,4.31,1,2,54.96,2,0,350606,2,2,0,70.51
SG-042,1,4.25,3,0,57.81,2,2,286820,1,1,0,63.65
SG-042,4,1.66,3,1,43.98,2,2,216804,1,0,1,47.38
SG-042,2,4.7,2,1,43.03,4,2,266890,2,0,2,66.73
SG-042,4,3.44,3,1,53.35,3,1,313107,1,1,0,64.98
SG-042,2,5.0,1,2,68.94,1,3,332150,2,1,1,70.81
SG-042,3,3.52,3,2,59.45,1,2,328032,2,2,0,70.29
SG-042,3,3.02,2,0,59.9,2,1,113259,0,0,0,40.08
SG-042,2,3.92,2,2,56.85,2,3,361011,1,1,0,66.69
SG-042,3,4.03,3,1,69.74,2,3,282027,3,1,2,78.38
SG-042,4,3.16,2,1,65.91,2,0,201642,0,0,0,35.29
SG-042,3,4.46,3,0,56.47,2,3,196275,1,1,0,72.13
SG-042,4,4.06,3,1,64.22,1,2,200936,1,1,0,61.41
SG-042,2,3.65,2,0,55.17,1,1,213285,2,0,2,48.93
SG-017,0,2.56,2,1,70.31,1,0,44569,3,0,3,27.94
SG-017,1,3.38,2,0,58.54,1,0,58120,1,0,1,36.0
SG-017,0,1.08,1,1,68.6,2,2,43296,0,0,0,22.28
SG-017,2,3.22,2,0,88.07,0,2,28127,0,0,0,35.12
SG-017,1,3.59,1,1,82.91,1,0,36968,2,0,2,36.3
SG-017,0,2.49,0,1,60.99,0,0,52715,2,0,2,19.8
SG-017,1,3.1,0,0,64.48,0,0,46621,2,0,2,36.82
SG-017,1,2.85,1,1,60.37,0,1,55288,0,0,0,25.7
SG-017,2,2.89,2,0,71.05,0,0,54428,0,0,0,25.74
SG-017,0,2.01,1,0,75.02,1,1,47386,3,0,3,36.0
SG-017,1,3.79,2,0,69.5,2,2,46953,1,0,1,49.72
SG-017,1,2.82,1,1,66.58,2,4,27230,1,0,1,46.33
SG-017,2,3.03,2,2,73.54,2,0,60905,1,1,0,47.62
SG-017,0,2.42,1,1,74.26,2,0,54738,1,0,1,19.15
SG-017,0,3.35,0,2,60.06,1,1,56695,1,0,1,21.99
SG-017,0,3.89,2,1,70.11,0,1,27402,2,0,2,21.98
SG-017,4,2.23,1,2,81.53,0,1,45020,1,0,1,30.26
SG-017,1,1.88,1,1,70.18,0,2,48645,0,0,0,23.66
SG-017,0,2.28,0,2,66.88,2,0,47479,1,1,0,32.62
SG-017,0,1.9,0,1,62.01,1,1,68746,0,0,0,15.6
SG-017,0,2.65,1,0,73.89,3,1,47598,2,0,2,38.0
SG-017,0,1.41,2,1,63.9,1,0,39716,2,0,2,23.22
SG-017,2,2.02,0,3,81.02,1,0,39707,1,0,1,25.88
SG-017,1,2.98,1,0,67.87,2,0,43104,0,0,0,32.32
SG-017,1,4.03,2,0,77.37,0,0,48138,1,1,0,46.73
SG-017,0,2.57,0,1,80.79,2,3,67676,0,0,0,23.84
SG-017,0,2.46,0,0,63.58,1,0,53421,0,0,0,14.0
SG-017,0,3.05,0,2,80.96,1,0,47107,0,0,0,7.81
SG-017,2,3.07,0,0,77.5,2,2,29080,1,1,0,60.49
SG-017,0,2.99,1,1,57.18,1,1,43519,0,0,0,16.56
SG-017,1,3.31,1,1,72.74,0,1,44994,1,1,0,43.15
SG-017,0,1.62,1,1,73.36,1,2,54326,1,0,1,23.33
SG-017,0,3.54,2,2,64.96,2,2,60588,0,0,0,23.01
SG-017,2,3.04,0,1,76.63,1,1,42413,2,0,2,41.04
SG-017,0,3.01,2,0,61.52,0,1,33817,1,0,1,20.0
SG-017,0,3.16,1,2,75.8,0,1,55437,1,0,1,14.84
SG-017,2,2.24,2,2,74.32,1,1,51785,1,0,1,32.14
SG-017,2,2.61,0,0,63.48,0,2,63089,2,0,2,44.56
SG-017,2,4.0,1,1,55.94,1,0,46996,0,0,0,33.21
SG-017,2,2.45,0,0,69.87,0,0,49530,1,0,1,29.89
SG-017,0,3.75,2,1,76.95,0,1,46473,1,0,1,14.61
SG-017,0,3.36,2,0,81.52,0,0,55253,1,0,1,16.0
SG-017,0,3.72,0,2,71.56,0,0,34828,2,1,1,29.69
SG-017,0,2.72,0,2,61.2,3,1,33381,0,0,0,23.76
SG-017,0,3.07,0,0,68.96,0,0,35909,0,0,0,10.0
SG-017,1,3.17,0,0,73.72,0,2,32973,1,0,1,39.11
SG-017,1,2.55,1,1,66.12,1,1,44114,1,1,0,45.29
SG-017,1,2.79,1,2,61.28,2,0,47173,3,0,3,47.26
SG-017,1,2.61,1,1,65.71,1,1,37328,0,0,0,27.62
SG-017,1,3.38,1,2,72.7,1,1,44085,0,0,0,29.46
SG-017,0,2.53,1,1,60.76,2,1,33891,2,0,2,31.85
SG-017,0,4.24,2,1,84.72,1,1,38397,2,0,2,23.06
SG-017,1,2.45,1,1,61.33,0,2,18981,1,0,1,33.82
SG-017,3,2.65,2,1,72.91,2,1,54966,0,0,0,33.95
SG-017,2,3.46,3,0,60.97,0,2,49979,1,0,1,42.13
SG-017,2,2.14,2,3,74.93,2,1,26898,0,0,0,29.6
SG-017,0,4.21,1,1,69.53,1,2,44677,2,0,2,30.09
SG-017,1,2.02,0,1,72.45,0,1,45538,0,0,0,19.79
SG-017,1,3.27,0,1,80.18,2,1,40320,0,0,0,31.5
SG-017,1,3.44,1,2,72.76,2,2,36955,0,0,0,37.7
SG-017,1,1.8,0,2,69.76,0,2,34527,0,0,0,23.41
SG-017,1,3.35,2,1,75.92,1,1,46075,1,1,0,46.69
SG-017,2,3.03,0,1,71.78,1,3,39762,1,1,0,55.97
SG-017,1,4.64,1,1,65.61,1,1,53463,1,1,0,54.17
SG-017,1,2.77,4,1,66.24,0,0,54366,1,0,1,26.19
SG-017,1,3.51,0,0,73.79,2,1,36905,2,0,2,50.54
SG-017,0,2.34,2,2,76.84,2,4,27908,0,0,0,24.63
SG-017,0,2.25,1,0,74.68,1,1,50077,2,0,2,30.0
SG-017,4,3.16,0,0,58.08,1,1,40316,3,0,3,56.47
SG-017,2,2.35,0,1,73.38,0,1,45141,1,0,1,28.79
SG-017,0,2.88,1,1,80.65,1,1,49377,2,0,2,23.87
SG-017,2,3.69,2,2,65.07,1,1,44019,0,0,0,34.08
SG-017,1,2.46,1,0,63.2,1,1,50793,3,0,3,48.13
SG-017,2,2.25,0,2,64.61,0,1,44098,0,0,0,24.13
SG-017,2,2.44,0,2,75.94,0,0,37554,1,1,0,36.66
SG-017,0,2.94,2,0,80.27,0,1,47467,2,0,2,26.0
SG-017,0,2.45,1,1,75.82,2,2,42857,0,0,0,20.84
SG-017,1,2.24,2,2,73.01,0,0,63862,0,0,0,16.61
SG-017,2,3.01,2,1,75.67,1,2,67774,2,0,2,45.11
SG-017,2,3.8,2,1,81.32,2,4,37500,0,0,0,43.3
SG-017,0,2.38,0,1,74.95,1,3,45134,2,0,2,33.01
SG-017,2,3.2,2,1,75.97,1,1,49050,3,0,3,47.85
SG-017,2,3.88,2,1,52.93,2,0,59699,1,1,0,55.31
SG-017,0,1.91,1,1,68.07,1,4,53345,2,1,1,50.39
SG-017,3,2.87,0,1,78.49,0,1,38082,3,1,2,55.76
SG-017,2,3.44,1,1,62.52,0,1,48240,2,1,1,53.54
SG-017,3,2.3,1,1,92.26,2,2,41122,0,0,0,32.61
SG-017,0,2.83,1,2,69.16,0,2,38010,1,0,1,20.17
SG-017,1,3.55,0,1,77.47,0,0,51686,2,0,2,33.22
SG-017,0,3.49,0,1,64.9,0,1,43167,0,0,0,11.02
SG-017,0,3.69,1,0,65.07,0,1,41454,0,0,0,14.0
SG-017,0,4.1,0,0,80.88,2,0,38679,2,0,2,30.0
SG-017,0,2.8,3,1,72.81,2,3,39232,1,1,0,43.44
SG-017,0,3.72,0,1,70.06,0,0,47764,2,0,2,17.99
SG-017,1,3.4,0,2,78.55,4,1,40419,2,1,1,64.37
SG-017,0,2.72,2,0,68.72,1,2,38954,0,0,0,22.0
SG-017,0,2.08,1,0,66.38,0,1,58225,2,0,2,26.0
SG-017,0,2.7,1,1,64.74,1,0,47117,2,0,2,23.05
SG-017,3,2.38,1,1,71.2,1,1,53480,2,0,2,41.16
SG-017,2,2.51,2,0,80.73,3,1,23075,0,0,0,40.14
SG-017,2,3.17,2,1,81.74,2,3,48588,2,0,2,52.57
SG-017,0,4.19,1,2,72.99,0,1,59360,2,0,2,21.4
SG-017,1,4.25,1,0,87.14,2,1,41286,2,0,2,53.65
SG-017,2,3.38,1,1,70.6,2,0,28781,2,0,2,43.68
SG-017,2,3.29,1,2,71.64,1,1,65206,0,0,0,31.09
SG-017,0,2.92,1,0,75.11,1,0,53396,2,1,1,38.0
SG-017,1,3.03,2,2,81.07,0,1,49395,0,0,0,22.31
SG-017,4,3.45,2,1,71.41,1,0,35362,2,1,1,55.41
SG-017,0,3.68,1,1,75.68,2,1,59102,1,0,1,22.86
SG-017,0,4.51,1,2,59.13,0,2,47869,0,0,0,16.17
SG-017,0,3.99,1,1,81.43,0,0,43035,2,0,2,15.71
SG-017,0,3.58,0,1,57.15,0,1,54304,0,0,0,12.57
SG-017,0,2.52,3,1,67.58,1,2,59662,0,0,0,18.48
SG-017,1,2.31,1,1,81.12,2,1,42860,2,0,2,39.28
SG-017,2,2.94,0,0,83.58,1,3,39864,1,1,0,59.95
SG-017,0,1.67,2,0,71.83,0,1,35495,1,0,1,20.0
SG-017,0,2.51,1,0,68.62,1,1,42286,1,0,1,24.0
SG-017,2,4.01,1,1,70.08,1,3,50087,0,0,0,42.43
SG-017,2,2.84,2,0,60.12,1,0,42602,2,0,2,41.53
SG-017,0,2.28,1,1,83.19,2,1,46456,1,0,1,21.36
SG-017,2,2.22,2,2,73.69,1,1,16385,1,0,1,32.19
SG-017,1,3.49,1,0,70.87,1,1,46619,2,0,2,46.46
SG-017,1,3.9,0,1,67.32,1,0,43304,3,0,3,46.72
SG-017,0,2.09,3,1,71.79,1,0,42648,3,1,2,39.64
SG-017,0,3.45,0,0,80.16,2,2,40301,1,1,0,44.0
SG-017,1,2.72,0,1,80.63,0,2,48315,2,1,1,49.1
SG-017,0,1.87,0,2,67.66,0,0,62526,2,1,1,30.47
SG-017,2,3.4,1,1,68.58,4,2,40362,1,0,1,50.16
SG-017,3,2.54,2,2,75.08,1,1,44436,0,0,0,29.05
SG-017,3,2.92,0,1,80.8,2,2,42425,2,0,2,49.5
SG-017,1,3.68,2,0,65.16,1,3,25844,1,0,1,49.26
SG-017,0,2.74,1,1,72.06,0,0,52799,2,1,1,29.59
SG-017,0,3.21,2,0,72.07,1,3,64245,0,0,0,26.0
SG-017,0,3.69,2,0,75.95,1,2,47307,2,0,2,34.0
SG-017,1,3.77,2,2,66.68,0,0,38792,2,1,1,48.3
SG-017,1,4.0,2,1,65.42,3,1,46262,1,0,1,47.52
SG-017,0,3.44,0,3,63.31,0,2,60293,1,0,1,21.34
SG-017,0,2.53,0,0,72.94,0,0,39628,0,0,0,10.0
SG-017,1,3.63,2,2,71.98,1,2,46417,1,0,1,40.65
SG-017,0,3.3,1,0,66.7,0,2,45786,0,0,0,18.0
SG-017,0,2.02,2,1,68.73,1,2,45200,0,0,0,18.25
SG-017,0,4.32,1,0,74.86,3,3,63310,0,0,0,30.0
SG-017,0,3.16,0,0,66.59,2,2,47768,0,0,0,26.0
SG-017,0,3.61,2,2,65.96,0,0,59216,1,0,1,12.81
SG-017,3,3.89,1,1,70.94,1,3,49225,2,1,1,67.55
SG-017,0,3.53,1,0,54.97,0,2,46138,1,1,0,36.0
SG-017,0,2.98,1,0,72.23,0,2,38184,3,0,3,36.0
SG-017,2,2.96,1,1,72.95,1,0,43750,0,0,0,25.44
SG-017,1,4.08,1,1,61.43,1,1,60860,1,1,0,52.65
SG-017,2,4.14,1,3,68.12,0,0,68310,2,0,2,39.36
SG-091,1,0.48,2,0,47.88,0,0,10603,0,0,0,13.82
SG-091,3,0.0,0,0,57.9,0,0,10572,0,0,0,15.4
SG-091,0,1.05,0,0,48.64,0,1,0,0,0,0,14.0
SG-091,0,0.4,0,0,58.73,0,0,0,0,0,0,10.0
SG-091,2,0.0,0,0,51.61,0,0,5228,1,1,0,31.6
SG-091,1,0.0,0,0,46.39,0,0,0,0,0,0,11.8
SG-091,1,0.14,2,0,47.68,0,0,4353,2,0,2,24.39
SG-091,1,0.15,0,1,60.14,0,0,0,0,0,0,10.4
SG-091,0,0.0,0,0,46.23,1,0,0,0,0,0,14.0
SG-091,1,0.0,1,0,64.61,0,1,0,2,0,2,27.8
SG-091,0,0.0,1,1,49.43,0,1,1318,0,0,0,14.11
SG-091,0,0.85,2,1,52.3,1,0,0,0,0,0,13.54
SG-091,0,0.13,1,0,51.94,1,0,4129,0,0,0,14.0
SG-091,1,0.0,0,0,45.79,0,1,10657,1,1,0,33.8
SG-091,0,2.12,0,0,46.82,0,1,0,2,0,2,26.0
SG-091,0,0.0,0,0,45.13,0,3,0,0,0,0,22.0
SG-091,0,0.38,1,1,44.84,0,0,0,0,0,0,11.03
SG-091,1,0.48,1,0,56.21,0,1,1771,1,0,1,23.82
SG-091,0,0.0,0,0,55.52,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,0,49.07,1,0,0,1,0,1,20.0
SG-091,0,0.81,0,1,53.43,0,0,3204,1,0,1,15.31
SG-091,0,0.0,1,0,58.14,0,0,12083,2,1,1,34.0
SG-091,2,0.06,0,0,52.04,0,0,0,1,0,1,19.85
SG-091,0,1.06,0,1,46.12,1,1,7413,1,0,1,24.78
SG-091,1,0.0,0,0,53.88,0,0,0,1,0,1,17.8
SG-091,1,0.0,0,1,47.04,0,0,16443,0,0,0,12.39
SG-091,0,0.0,0,1,46.08,0,0,0,0,0,0,10.78
SG-091,1,0.0,0,0,34.67,0,1,0,0,0,0,15.8
SG-091,2,0.54,0,1,44.08,1,0,10733,0,0,0,21.05
SG-091,0,0.19,0,0,45.34,1,0,0,0,0,0,14.0
SG-091,1,1.44,1,1,74.71,1,0,7040,0,0,0,16.91
SG-091,0,0.45,0,0,58.7,1,0,0,1,1,0,32.0
SG-091,0,0.0,0,1,57.28,0,1,641,0,0,0,12.54
SG-091,0,0.0,0,0,50.45,0,0,4880,0,0,0,10.0
SG-091,0,0.53,2,1,38.25,0,0,1776,1,0,1,18.35
SG-091,0,0.29,1,0,47.24,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,0,53.89,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,0,49.93,0,1,0,0,0,0,14.0
SG-091,0,0.23,2,0,49.41,0,0,0,0,0,0,10.0
SG-091,0,0.0,0,0,54.67,1,0,0,0,0,0,14.0
SG-091,0,0.58,0,1,37.87,0,1,16711,0,0,0,16.43
SG-091,0,0.0,0,0,41.15,0,0,9444,0,0,0,10.0
SG-091,0,0.0,1,0,72.52,0,0,5251,2,1,1,34.0
SG-091,0,0.98,0,0,39.77,1,0,1002,0,0,0,14.0
SG-091,2,0.03,0,0,58.85,0,0,9786,0,0,0,13.73
SG-091,0,0.49,2,1,61.69,0,0,0,0,0,0,7.66
SG-091,0,0.0,0,0,53.93,2,1,0,1,1,0,40.0
SG-091,0,0.0,1,0,39.53,1,0,0,1,0,1,20.0
SG-091,0,0.62,1,1,56.99,1,1,2655,0,0,0,16.6
SG-091,0,0.0,0,0,61.53,0,1,10793,0,0,0,14.0
SG-091,0,0.93,1,0,51.29,2,0,4477,1,0,1,24.0
SG-091,1,0.0,0,1,52.85,0,0,0,0,0,0,11.23
SG-091,0,0.03,0,0,42.64,2,0,0,0,0,0,18.0
SG-091,2,0.0,1,0,53.77,0,1,0,1,0,1,23.6
SG-091,0,0.25,0,0,47.87,0,2,10490,0,0,0,18.0
SG-091,0,0.0,1,0,57.41,0,0,4098,1,0,1,16.0
SG-091,1,0.08,0,0,61.05,2,1,0,0,0,0,24.14
SG-091,1,0.55,0,0,45.13,0,0,1861,1,0,1,20.11
SG-091,1,1.44,0,0,52.47,2,0,2032,0,0,0,25.85
SG-091,0,0.94,2,0,46.99,2,0,0,0,0,0,18.0
SG-091,1,1.69,0,1,50.56,1,0,14681,1,0,1,28.79
SG-091,1,0.0,0,0,35.18,1,1,0,0,0,0,19.8
SG-091,0,0.0,0,1,49.49,2,0,0,1,0,1,24.1
SG-091,1,0.83,0,0,48.63,0,0,13364,0,0,0,15.29
SG-091,0,1.17,0,0,47.81,0,1,0,1,0,1,20.0
SG-091,2,0.18,1,1,54.99,0,0,19154,0,0,0,13.36
SG-091,0,0.28,0,0,48.65,0,0,0,0,0,0,10.0
SG-091,1,0.37,1,0,39.11,2,0,6108,0,0,0,21.35
SG-091,0,0.39,0,0,41.6,0,0,4275,3,1,2,40.0
SG-091,1,0.0,0,0,60.26,0,0,0,0,0,0,11.8
SG-091,0,0.0,0,0,54.18,0,0,5969,0,0,0,10.0
SG-091,1,0.47,0,0,43.75,0,1,4449,0,0,0,17.77
SG-091,0,0.49,1,1,49.19,1,0,6324,0,0,0,14.16
SG-091,0,0.49,3,0,50.57,0,0,15444,0,0,0,10.0
SG-091,0,0.0,0,1,72.4,0,0,9000,0,0,0,5.52
SG-091,0,0.0,0,1,48.18,0,0,0,0,0,0,10.36
SG-091,0,0.53,0,0,49.48,1,1,4461,1,1,0,36.0
SG-091,0,0.0,0,0,58.72,0,0,4599,0,0,0,10.0
SG-091,0,0.0,0,1,64.6,0,0,426,2,0,2,19.08
SG-091,0,1.08,0,1,38.18,0,0,0,1,0,1,18.36
SG-091,0,0.0,0,0,57.86,0,0,1591,0,0,0,10.0
SG-091,0,0.0,0,0,59.19,0,0,1833,2,0,2,22.0
SG-091,1,0.86,0,0,47.37,0,1,2310,0,0,0,19.41
SG-091,0,1.5,0,0,61.45,0,1,0,0,0,0,14.0
